ndc11,rxcui,name,rxnavImageObjectId,rxnavImageFileName,nlmImageFileName,RXNAV 120,RXBASE 120,RXNAV 300,RXBASE 300,RXNAV 600,RXBASE 600,RXNAV 800,RXBASE 800,RXNAV 1024,RXBASE 1024,RXNAV ORIGINAL,RXBASE ORIGINAL
00093-0311-01,978006,Loperamide Hydrochloride 2 MG Oral Capsule,185643662,00093-0311-01_RXNAVIMAGE10_26211358.jpg,00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/120/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/120/00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/300/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/300/00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/600/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/600/00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/800/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/800/00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/1024/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/1024/00093-0311-01_NLMIMAGE10_6315B1FD.jpg,image/images/gallery/original/00093-0311-01_RXNAVIMAGE10_26211358.jpg,image/images/gallery/original/00093-0311-01_NLMIMAGE10_6315B1FD.jpg
00093-3165-01,197985,Minocycline 50 MG Oral Capsule,185646490,00093-3165-01_RXNAVIMAGE10_36231B28.jpg,00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/120/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/120/00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/300/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/300/00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/600/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/600/00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/800/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/800/00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/1024/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/1024/00093-3165-01_NLMIMAGE10_19270CA8.jpg,image/images/gallery/original/00093-3165-01_RXNAVIMAGE10_36231B28.jpg,image/images/gallery/original/00093-3165-01_NLMIMAGE10_19270CA8.jpg
00093-0810-01,198045,Nortriptyline 10 MG Oral Capsule,185646437,00093-0810-01_RXNAVIMAGE10_24231228.jpg,00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/120/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/120/00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/300/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/300/00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/600/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/600/00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/800/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/800/00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/1024/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/1024/00093-0810-01_NLMIMAGE10_34271A58.jpg,image/images/gallery/original/00093-0810-01_RXNAVIMAGE10_24231228.jpg,image/images/gallery/original/00093-0810-01_NLMIMAGE10_34271A58.jpg
00093-0811-01,317136,Nortriptyline 25 MG Oral Capsule,185646420,00093-0811-01_RXNAVIMAGE10_20231018.jpg,00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/120/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/120/00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/300/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/300/00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/600/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/600/00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/800/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/800/00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/1024/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/1024/00093-0811-01_NLMIMAGE10_15270A98.jpg,image/images/gallery/original/00093-0811-01_RXNAVIMAGE10_20231018.jpg,image/images/gallery/original/00093-0811-01_NLMIMAGE10_15270A98.jpg
00093-0812-01,198046,Nortriptyline 50 MG Oral Capsule,185646464,00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/120/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/120/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/300/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/300/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/600/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/600/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/800/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/800/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/1024/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/1024/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg,image/images/gallery/original/00093-0812-01_RXNAVIMAGE10_2D2316D8.jpg,image/images/gallery/original/00093-0812-01_NLMIMAGE10_DD0E6EE3.jpg
00093-0813-01,198047,Nortriptyline 75 MG Oral Capsule,185646463,00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/120/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/120/00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/300/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/300/00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/600/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/600/00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/800/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/800/00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/1024/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/1024/00093-0813-01_NLMIMAGE10_D626EB47.jpg,image/images/gallery/original/00093-0813-01_RXNAVIMAGE10_2D2316A8.jpg,image/images/gallery/original/00093-0813-01_NLMIMAGE10_D626EB47.jpg
00185-0615-01,995278,Hydroxyzine Pamoate 50 MG Oral Capsule,185670630,00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/120/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/120/00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/300/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/300/00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/600/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/600/00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/800/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/800/00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/1024/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/1024/00185-0615-01_NLMIMAGE10_4F34A795.jpg,image/images/gallery/original/00185-0615-01_RXNAVIMAGE10_4F34A795.jpg,image/images/gallery/original/00185-0615-01_NLMIMAGE10_4F34A795.jpg
00185-0613-01,995253,Hydroxyzine Pamoate 25 MG Oral Capsule,185671078,00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/120/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/120/00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/300/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/300/00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/600/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/600/00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/800/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/800/00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/1024/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/1024/00185-0613-01_NLMIMAGE10_F634FB07.jpg,image/images/gallery/original/00185-0613-01_RXNAVIMAGE10_F634FB07.jpg,image/images/gallery/original/00185-0613-01_NLMIMAGE10_F634FB07.jpg
00603-3855-21,199903,Hydrochlorothiazide 12.5 MG Oral Capsule,185670791,00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/120/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/120/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/300/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/300/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/600/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/600/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/800/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/800/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/1024/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/1024/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg,image/images/gallery/original/00603-3855-21_RXNAVIMAGE10_8B34C5C6.jpg,image/images/gallery/original/00603-3855-21_NLMIMAGE10_8B34C5C6.jpg
53489-0118-02,1649405,doxycycline hyclate 50 MG Oral Capsule,185671091,53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/120/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/120/53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/300/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/300/53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/600/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/600/53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/800/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/800/53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/1024/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/1024/53489-0118-02_NLMIMAGE10_FA34FD77.jpg,image/images/gallery/original/53489-0118-02_RXNAVIMAGE10_FA34FD77.jpg,image/images/gallery/original/53489-0118-02_NLMIMAGE10_FA34FD77.jpg
